accuracy,accuracy_val,time
0.1134,0.109,1048.957303762436
0.1404,0.151,1048.393916606903
0.1418,0.129,1051.4994945526123
0.1486,0.147,1051.171446800232
0.142,0.152,1047.7853183746338
0.1634,0.164,1052.3922924995422
0.1852,0.189,1052.5889339447021
0.212,0.209,1046.6878662109375
0.2364,0.234,1046.9353938102722
0.2638,0.272,1045.3795716762543
0.2836,0.3,1044.6586508750916
0.3014,0.319,1044.87238407135
0.2972,0.294,1046.0001602172852
0.3138,0.315,1045.2716374397278
0.3246,0.331,1044.571796655655
0.3144,0.319,1049.6381604671478
0.3392,0.355,1050.055962562561
0.3488,0.363,1044.484589099884
0.3546,0.355,1045.5418541431427
0.3602,0.359,1045.283210515976
0.3658,0.367,1045.96293759346
0.372,0.374,1044.4585192203522
0.3822,0.383,1044.946115732193
0.3914,0.399,1045.1416821479797
0.4014,0.413,1061.3444435596466
0.4074,0.42,1045.0851242542267
0.4144,0.426,1047.529947757721
0.423,0.434,1045.5586771965027
0.4316,0.437,1046.8358261585236
0.4366,0.451,1044.737511396408
0.4448,0.458,1045.3317308425903
0.4522,0.462,1045.4275991916656
0.464,0.465,1045.6683385372162
0.4676,0.472,1044.2668125629425
0.4722,0.48,1049.5959930419922
0.4786,0.483,1045.460256099701
0.4814,0.484,1044.2158570289612
0.4884,0.491,1044.6137685775757
0.4918,0.495,1045.9766640663147
0.4992,0.496,1045.7967312335968
0.507,0.496,1045.3532328605652
0.5104,0.497,1045.5508303642273
0.5154,0.501,1046.4448974132538
0.52,0.505,1044.186461687088
0.5252,0.508,1048.5160801410675
0.529,0.514,1047.4888317584991
0.5326,0.512,1050.052085161209
0.5388,0.516,1049.9989500045776
0.5418,0.516,1048.276629447937
0.5456,0.521,1044.502107143402
